Seed,Tm,W,L,T,W-L%,SRS,Why,Reason
1,Seattle Seahawks,12,4,0,.750,9.54,West Champion,conference win percentage over Dallas Cowboys Green Bay Packers
2,Green Bay Packers,12,4,0,.750,8.29,North Champion,conference win percentage over Dallas Cowboys
3,Dallas Cowboys,12,4,0,.750,5.37,East Champion,
4,Carolina Panthers,7,8,1,.469,-3.06,South Champion,
5,Arizona Cardinals,11,5,0,.688,1.98,Wild Card #1,head-to-head record over Detroit Lions
6,Detroit Lions,11,5,0,.688,2.06,Wild Card #2,
,Philadelphia Eagles,10,6,0,.625,3.92,,
,San Francisco 49ers,8,8,0,.500,-0.95,,
,New Orleans Saints,7,9,0,.438,-2.90,,head-to-head record over Minnesota Vikings
,Minnesota Vikings,7,9,0,.438,-1.66,,
,New York Giants,6,10,0,.375,-1.69,,head-to-head record over Atlanta Falcons Los Angeles Rams
,Atlanta Falcons,6,10,0,.375,-3.85,,conference win percentage over Los Angeles Rams
,St. Louis Rams,6,10,0,.375,-0.83,,
,Chicago Bears,5,11,0,.313,-6.71,,
,Washington Redskins,4,12,0,.250,-8.73,,
,Tampa Bay Buccaneers,2,14,0,.125,-9.78,,
