Rk,Name,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,FantPt,DKPt,FDPt,VBD,PosRank,OvRank
1,Joe Adams\AdamJo01,CAR,WR,23,9,0,0,0,0,0,0,3,13,4.33,0,1,1,7,7.00,0,-4,,-3.5,,264,
2,Kris Adams\AdamKr00,IND,WR,25,3,0,0,0,0,0,0,0,0,,0,8,2,26,13.00,0,3,4.6,3.6,,187,
3,Kyle Adams\AdamKy00,CHI,TE,24,15,2,0,0,0,0,0,0,0,,0,8,4,40,10.00,0,4,8.0,6.0,,81,
4,Kamar Aiken\AikeKa00,NWE,,23,1,0,0,0,0,0,0,0,0,,0,,0,0,,0,,,,,220,
5,Seyi Ajirotutu\AjirSe00,SDG,WR,25,3,1,0,0,0,0,0,0,0,,0,4,3,45,15.00,0,5,7.5,6.0,,170,
6,Alvester Alexander\AlexAl00,2TM,,22,,,0,0,0,0,0,0,0,,0,,0,0,,0,,,,,159,
7,Danario Alexander\AlexDa00,SDG,WR,26,10,6,0,1,0,0,0,0,0,,0,62,37,658,17.78,7,108,147.8,126.3,,39,
8,Anthony Allen\AlleAn01,BAL,RB,24,16,0,0,0,0,0,0,16,61,3.81,1,4,2,12,6.00,0,13,15.3,14.3,,111,
9,Armando Allen\AlleAr00,CHI,RB,23,15,0,0,0,0,0,0,27,124,4.59,1,3,2,16,8.00,0,20,25.0,21.0,,95,
10,Dwayne Allen\AlleDw00,IND,TE,22,16,16,0,0,0,0,0,3,5,1.67,0,66,45,521,11.58,3,71,118.6,93.1,,23,
11,Danny Amendola\AmenDa00,STL,WR,27,11,8,0,0,0,0,0,2,8,4.00,0,101,63,666,10.57,3,83,151.4,114.9,,58,
12,Derek Anderson\AndeDe00,CAR,QB,29,2,0,4,4,58,0,0,0,0,,0,0,0,0,,0,2,2.3,2.3,,56,
13,Joe Anderson\AndeJo00,CHI,,24,3,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,201,
14,Anthony Armstrong\ArmsAn00,2TM,WR,29,6,0,0,0,0,0,0,0,0,,0,9,3,12,4.00,0,1,4.2,2.7,,193,
15,Devin Aromashodu\AromDe00,MIN,WR,28,15,0,0,0,0,0,0,0,0,,0,22,11,182,16.55,0,18,32.2,23.7,,136,
16,Adrian Arrington\ArriAd00,NOR,,27,,,0,0,0,0,0,0,0,,0,,0,0,,0,,,,,239,
17,Matt Asiata\AsiaMa00,MIN,RB,25,16,0,0,0,0,0,0,3,9,3.00,0,1,1,2,2.00,0,1,2.1,1.6,,144,
18,David Ausberry\AusbDa00,OAK,TE,25,16,0,0,0,0,0,0,0,0,,0,12,7,92,13.14,0,9,16.2,12.7,,64,
19,Miles Austin\AustMi00,DAL,WR,28,16,15,0,0,0,0,0,0,0,,0,119,66,943,14.29,6,128,198.3,161.3,10,26,68
20,Jason Avant\AvanJa00,PHI,WR,29,14,6,0,0,0,0,0,0,0,,0,76,53,648,12.23,0,65,120.8,91.3,,70,
21,Donnie Avery\AverDo00,IND,WR,28,16,15,0,0,0,0,0,4,9,2.25,0,124,60,781,13.02,3,97,160.0,127.0,,46,
22,Billy Bajema\BajeBi00,BAL,,30,8,1,0,0,0,0,0,0,0,,0,1,0,0,,0,,,,,127,
23,Edwin Baker\BakeEd01,SDG,,21,,,0,0,0,0,0,0,0,,0,,0,0,,0,,,,,177,
24,Doug Baldwin\BaldDo00,SEA,WR,24,14,4,0,0,0,0,0,0,0,,0,50,29,366,12.62,3,55,86.6,69.1,,79,
25,Jonathan Baldwin\BaldJo00,KAN,WR,23,15,7,0,0,0,0,0,0,0,,0,47,20,325,16.25,1,39,61.5,48.5,,102,
26,Lance Ball\BallLa00,DEN,RB,27,15,0,0,0,0,0,0,42,158,3.76,1,12,7,61,8.71,1,32,42.9,35.4,,78,
27,Jake Ballard\BallJa21,NWE,,25,,,0,0,0,0,0,0,0,,0,,0,0,,0,,,,,122,
28,Vick Ballard\BallVi00,IND,RB,22,16,12,0,0,0,0,0,211,814,3.86,2,27,17,152,8.94,1,115,137.6,123.1,,25,
29,Brandon Banks\BankBr00,WAS,WR,25,12,0,0,0,0,0,0,7,36,5.14,0,8,8,15,1.88,0,5,13.1,9.1,,169,
30,Joe Banyard\BanyJo00,MIN,,24,,,0,0,0,0,0,0,0,,0,,0,0,,0,,,,,162,
31,Brandon Barden\BardBr00,TEN,,23,3,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,135,
32,Ramses Barden\BardRa00,NYG,WR,26,12,1,0,0,0,0,0,0,0,,0,21,14,220,15.71,0,22,39.0,29.0,,127,
33,Gary Barnidge\BarnGa01,CAR,TE,27,16,5,0,0,0,0,0,0,0,,0,6,6,78,13.00,1,14,19.8,16.8,,54,
34,Baron Batch\BatcBa00,PIT,RB,25,12,0,0,0,0,0,0,25,49,1.96,1,5,4,31,7.75,0,14,18.0,16.0,,109,
35,Charlie Batch\BatcCh00,PIT,QB,38,2,2,45,70,475,1,4,0,0,,0,0,0,0,,0,15,22.0,19.0,,44,
36,Phil Bates\BatePh00,SEA,,23,,,0,0,0,0,0,0,0,,0,,0,0,,0,,,,,227,
37,Jackie Battle\BattJa00,SDG,RB,29,16,5,0,0,0,0,0,95,311,3.27,3,15,15,108,7.20,1,66,86.9,73.4,,48,
38,Cole Beasley\BeasCo00,DAL,WR,23,10,0,0,0,0,0,0,0,0,,0,24,15,128,8.53,0,13,30.8,20.3,,143,
39,Travis Beckum\BeckTr00,NYG,,25,4,0,0,0,0,0,0,0,0,,0,1,0,0,,0,,,,,129,
40,Joique Bell\BellJo01,DET,RB,26,16,0,0,0,0,0,0,82,414,5.05,3,68,52,485,9.33,0,104,163.9,129.9,,29,
41,Kahlil Bell\BellKa00,2TM,RB,26,7,0,0,0,0,0,0,29,76,2.62,0,2,2,13,6.50,0,7,9.9,7.9,,124,
42,Josh Bellamy\BellJo02,KAN,,23,3,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,246,
43,Tim Benford\BenfTi00,DAL,,23,,,0,0,0,0,0,0,0,,0,,0,0,,0,,,,,250,
44,Travis Benjamin\BenjTr00,CLE,WR,23,14,3,0,0,0,0,0,6,66,11.00,0,37,18,298,16.56,2,46,74.4,61.4,,88,
45,Arrelious Benn\BennAr00,TAM,WR,24,8,1,0,0,0,0,0,3,16,5.33,0,6,4,26,6.50,0,4,8.2,6.2,,174,
46,Earl Bennett\BennEa00,CHI,WR,25,12,4,0,0,0,0,0,0,0,,0,49,29,375,12.93,2,50,81.5,64.0,,84,
47,Martellus Bennett\BennMa00,NYG,TE,25,16,16,0,0,0,0,0,0,0,,0,89,55,626,11.38,5,93,150.6,120.1,,13,
48,Cedric Benson\BensCe00,GNB,RB,30,5,5,0,0,0,0,0,71,248,3.49,1,15,14,97,6.93,0,41,57.5,47.5,,66,
49,Davone Bess\BessDa00,MIA,WR,27,13,13,0,0,0,0,0,0,0,,0,104,61,778,12.75,1,84,147.8,114.3,,57,
50,Jahvid Best\BestJa00,DET,,23,,,0,0,0,0,0,0,0,,0,,0,0,,0,,,,,172,
51,Armon Binns\BinnAr00,2TM,WR,23,11,5,0,0,0,0,0,0,0,,0,40,24,277,11.54,1,32,59.7,43.7,,105,
52,Justin Blackmon\BlacJu00,JAX,WR,22,16,14,0,0,0,0,0,2,23,11.50,0,132,64,865,13.52,5,121,187.8,152.8,2,28,73
53,Matt Blanchard\BlanMa00,CHI,,23,,,0,0,0,0,0,0,0,,0,,0,0,,0,,,,,69,
54,LeGarrette Blount\BlouLe00,TAM,RB,26,13,0,0,0,0,0,0,41,151,3.68,2,2,1,2,2.00,0,27,31.3,27.8,,84,
55,Brandon Bolden\BoldBr00,NWE,RB,22,10,0,0,0,0,0,0,56,274,4.89,2,2,2,11,5.50,0,41,45.5,41.5,,67,
56,Anquan Boldin\BoldAn00,BAL,WR,32,15,15,0,0,0,0,0,1,3,3.00,0,112,65,921,14.17,4,118,186.4,150.9,,30,
57,Kevin Boss\BossKe00,KAN,TE,28,2,2,0,0,0,0,0,0,0,,0,3,3,65,21.67,1,13,15.5,14.0,,57,
