Rk,Name,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,FantPt,DKPt,FDPt,VBD,PosRank,OvRank
58,Brandon Bostick\BostBr00,GNB,,23,,,0,0,0,0,0,0,0,,0,,0,0,,0,,,,,134,
59,Dwayne Bowe\BoweDw00,KAN,WR,28,13,12,0,0,0,0,0,0,0,,0,114,59,801,13.58,3,96,159.1,125.6,,47,
60,Jarrett Boykin\BoykJa00,GNB,WR,23,10,0,0,0,0,0,0,0,0,,0,6,5,27,5.40,0,3,7.7,5.2,,185,
61,Allen Bradford\BradAl00,SEA,,24,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,181,
62,Sam Bradford\BradSa00,STL,QB,25,16,16,328,551,3702,21,13,36,124,3.44,1,0,0,0,,0,231,250.5,243.5,,16,
63,Ahmad Bradshaw\BradAh00,NYG,RB,26,14,12,0,0,0,0,0,221,1015,4.59,6,31,23,245,10.65,0,156,188.0,167.5,39,18,44
64,Tom Brady*\BradTo00,NWE,QB,35,16,16,401,637,4827,34,8,23,32,1.39,4,0,0,0,,0,340,351.3,348.3,90,3,12
65,Deion Branch\BranDe00,NWE,WR,33,10,4,0,0,0,0,0,0,0,,0,29,16,145,9.06,0,15,33.5,22.5,,138,
66,LaVon Brazill\BrazLa00,IND,WR,23,15,0,0,0,0,0,0,0,0,,0,24,11,186,16.91,1,23,37.6,28.1,,125,
67,Steve Breaston\BreaSt00,KAN,WR,29,10,4,0,0,0,0,0,0,0,,0,15,7,74,10.57,0,7,14.4,10.9,,158,
68,Drew Brees*\BreeDr00,NOR,QB,33,16,16,422,670,5177,43,19,15,5,0.33,1,0,0,0,,0,346,368.6,364.6,95,1,10
69,Curtis Brinkley\BrinCu00,SDG,RB,27,10,1,0,0,0,0,0,39,115,2.95,0,15,12,77,6.42,0,19,34.2,25.2,,98,
70,Dezmon Briscoe\BrisDe00,WAS,WR,23,7,0,0,0,0,0,0,1,1,1.00,0,5,2,22,11.00,0,2,4.3,3.3,,189,
71,Kenny Britt\BritKe00,TEN,WR,24,14,11,0,0,0,0,0,0,0,,0,90,45,589,13.09,4,83,131.9,105.4,,59,
72,Richie Brockel\BrocRi00,CAR,,26,16,0,0,0,0,0,0,0,0,,0,1,0,0,,0,,,,,1,
73,Andre Brown\BrowAn03,NYG,RB,26,10,2,0,0,0,0,0,73,385,5.27,8,17,12,86,7.17,0,97,112.1,103.1,,31,
74,Antonio Brown\BrowAn04,PIT,WR,24,13,10,0,2,0,0,1,7,24,3.43,0,106,66,787,11.92,5,105,177.1,139.1,,40,
75,Bryce Brown\BrowBr02,PHI,RB,21,16,4,0,0,0,0,0,115,564,4.90,4,19,13,56,4.31,0,80,99.0,86.5,,42,
76,Donald Brown\BrowDo00,IND,RB,25,10,4,0,0,0,0,0,108,417,3.86,1,13,9,93,10.33,0,59,71.0,63.5,,55,
77,LaMark Brown\BrowLa02,MIN,,23,,,0,0,0,0,0,0,0,,0,,0,0,,0,,,,,116,
78,Mike Brown\BrowMi00,JAX,,23,2,1,0,0,0,0,0,0,0,,0,1,0,0,,0,,,,,236,
79,Ronnie Brown\BrowRo05,SDG,RB,31,14,1,0,0,0,0,0,46,220,4.78,0,59,49,371,7.57,0,59,114.1,83.6,,54,
80,Vincent Brown\BrowVi00,SDG,,23,,,0,0,0,0,0,0,0,,0,,0,0,,0,,,,,231,
81,Ryan Broyles\BroyRy00,DET,WR,24,10,3,0,0,0,0,0,0,0,,0,32,22,310,14.09,2,43,68.0,54.0,,94,
82,Dez Bryant\BryaDe01,DAL,WR,24,16,14,0,0,0,0,0,2,-5,-2.50,0,138,92,1382,15.02,12,208,304.7,253.7,89,3,13
83,Lamont Bryant\BryaLa00,CAR,,24,,,0,0,0,0,0,0,0,,0,,0,0,,0,,,,,215,
84,Nate Burleson\BurlNa00,DET,WR,31,6,5,0,0,0,0,0,8,48,6.00,0,43,27,240,8.89,2,43,72.8,56.3,,97,
85,Troy Burrell\BurrTr00,DET,,23,,,0,0,0,0,0,0,0,,0,,0,0,,0,,,,,217,
86,Plaxico Burress\BurrPl00,PIT,WR,35,4,3,0,0,0,0,0,0,0,,0,7,3,42,14.00,1,10,13.2,11.7,,150,
87,Stephen Burton\BurtSt00,MIN,WR,23,12,1,0,0,0,0,0,0,0,,0,11,5,35,7.00,1,10,14.5,12.0,,152,
88,Michael Bush\BushMi00,CHI,RB,28,13,1,0,0,0,0,0,114,411,3.61,5,11,9,83,9.22,0,77,90.4,81.9,,43,
89,Reggie Bush\BushRe00,MIA,RB,27,16,16,0,0,0,0,0,227,986,4.34,6,52,35,292,8.34,2,172,214.8,189.3,55,14,31
90,Deon Butler\ButlDe00,SEA,,26,1,0,0,0,0,0,0,0,0,,0,,0,0,,0,,,,,245,
91,Nate Byham\ByhaNa00,TAM,TE,24,11,2,0,0,0,0,0,0,0,,0,4,3,18,6.00,1,8,10.8,9.3,,69,
92,LaRon Byrd\ByrdLa00,ARI,WR,23,4,0,0,0,0,0,0,0,0,,0,2,1,8,8.00,0,1,1.8,1.3,,196,
93,Jake Byrne\ByrnJa00,HOU,,22,,,0,0,0,0,0,0,0,,0,,0,0,,0,,,,,131,
94,Travaris Cadet\CadeTr00,NOR,RB,23,13,0,0,0,0,0,0,1,5,5.00,0,8,5,44,8.80,0,3,8.9,5.4,,137,
95,Andre Caldwell\CaldAn00,DEN,WR,27,8,0,0,0,0,0,0,1,14,14.00,0,4,1,18,18.00,0,3,4.2,3.7,,179,
96,Duke Calhoun\CalhDu00,OAK,,25,,,0,0,0,0,0,0,0,,0,,0,0,,0,,,,,254,
97,Greg Camarillo\CamaGr00,NOR,WR,30,5,0,0,0,0,0,0,0,0,,0,5,4,44,11.00,0,4,8.4,6.4,,172,
98,Jordan Cameron\CameJo00,CLE,TE,24,14,6,0,0,0,0,0,0,0,,0,40,20,226,11.30,1,29,51.6,38.6,,47,
99,Jason Campbell\CampJa00,CHI,QB,31,6,1,32,51,265,2,2,7,28,4.00,0,0,0,0,,0,17,19.4,19.4,,43,
100,John Carlson\CarlJo00,MIN,WR,28,14,6,0,0,0,0,0,0,0,,0,14,8,43,5.38,0,4,12.3,8.3,,173,
101,David Carr\CarrDa00,NYG,QB,33,2,0,2,3,19,0,0,3,-3,-1.00,0,0,0,0,,0,,0.5,0.5,,63,
102,Derek Carrier\CarrDe00,PHI,,22,,,0,0,0,0,0,0,0,,0,,0,0,,0,,,,,221,
103,Delone Carter\CartDe01,IND,RB,25,10,0,0,0,0,0,0,32,122,3.81,3,2,1,13,13.00,0,32,35.5,32.0,,80,
104,James Casey\CaseJa00,HOU,TE,28,16,9,0,0,0,0,0,1,6,6.00,0,45,34,330,9.71,3,52,88.6,68.6,,31,
105,Matt Cassel\CassMa00,KAN,QB,30,9,8,161,277,1796,6,12,27,145,5.37,1,0,0,0,,0,78,103.3,90.3,,35,
106,Brent Celek\CeleBr00,PHI,TE,27,15,14,0,0,0,0,0,0,0,,0,88,57,684,12.00,1,72,133.4,100.9,,21,
107,Garrett Celek\CeleGa00,SFO,TE,24,13,0,0,0,0,0,0,0,0,,0,7,4,51,12.75,0,5,9.1,7.1,,78,
108,Scott Chandler\ChanSc00,BUF,TE,27,15,13,0,0,0,0,0,0,0,,0,74,43,571,13.28,6,91,138.1,112.6,,14,
109,Shaun Chapas\ChapSh00,DET,RB,24,3,1,0,0,0,0,0,0,0,,0,2,1,6,6.00,0,1,1.6,1.1,,153,
110,Jamaal Charles*\CharJa00,KAN,RB,26,16,15,0,0,0,0,0,285,1509,5.29,5,49,35,236,6.74,1,205,248.5,222.0,88,8,14
111,Orson Charles\CharOr00,CIN,TE,21,16,6,0,0,0,0,0,0,0,,0,10,8,101,12.63,0,10,21.1,14.1,,61,
112,Greg Childs\ChilGr00,MIN,,22,,,0,0,0,0,0,0,0,,0,,0,0,,0,,,,,232,
113,Tashard Choice\ChoiTa00,BUF,RB,28,12,0,0,0,0,0,0,47,193,4.11,1,9,4,9,2.25,0,26,33.2,28.2,,89,
114,Dallas Clark\ClarDa00,TAM,TE,33,16,7,0,0,0,0,0,0,0,,0,75,47,435,9.26,4,68,117.5,91.0,,25,
115,Jimmy Clausen\ClauJi00,CAR,,25,,,0,0,0,0,0,0,0,,0,,0,0,,0,,,,,79,
116,Charles Clay\ClayCh00,MIA,TE,23,14,9,0,0,0,0,0,0,0,,0,33,18,212,11.78,2,33,54.2,42.2,,42,
117,Kellen Clemens\ClemKe00,STL,QB,29,2,0,1,3,39,0,1,2,5,2.50,0,0,0,0,,0,,1.1,1.1,,64,
118,Toney Clemons\ClemTo00,JAX,WR,24,4,0,0,0,0,0,0,0,0,,0,11,3,41,13.67,0,4,7.1,5.6,,176,
119,Tyler Clutts\ClutTy00,HOU,,28,16,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,5,76
120,Danny Coale\CoalDa00,DAL,,24,,,0,0,0,0,0,0,0,,0,,0,0,,0,,,,,218,
121,Randall Cobb\CobbRa00,GNB,WR,22,15,8,0,0,0,0,0,10,132,13.20,0,104,80,954,11.93,8,155,247.6,200.6,36,18,46
122,Chase Coffman\CoffCh00,ATL,TE,26,5,0,0,0,0,0,0,0,0,,0,1,1,12,12.00,0,1,2.2,1.7,,92,
123,B.J. Coleman\ColeB.00,GNB,,24,,,0,0,0,0,0,0,0,,0,,0,0,,0,,,,,74,
124,Derrick Coleman\ColeDe00,SEA,,22,,,0,0,0,0,0,0,0,,0,,0,0,,0,,,,,184,
125,Austin Collie\CollAu00,IND,WR,27,1,0,0,0,0,0,0,0,0,,0,1,1,6,6.00,0,1,1.6,1.1,,200,
126,Jed Collins\CollJe01,NOR,RB,26,15,7,0,0,0,0,0,0,0,,0,16,14,70,5.00,2,17,32.0,24.0,,101,
127,Marques Colston\ColsMa00,NOR,WR,29,16,13,0,0,0,0,0,0,0,,0,130,83,1154,13.90,10,171,259.4,212.9,53,11,34
128,Kevin Cone\ConeKe00,ATL,,24,12,0,0,0,0,0,0,0,0,,0,1,0,0,,0,,,,,242,
129,John Conner\ConnJo00,2TM,,25,5,2,0,0,0,0,0,0,0,,0,2,0,0,,0,,,,,163,
130,Jared Cook\CookJa02,TEN,TE,25,13,5,0,0,0,0,0,0,0,,0,73,44,523,11.89,4,74,122.3,96.3,,20,
131,Chris Cooley\CoolCh00,WAS,TE,30,9,2,0,0,0,0,0,0,0,,0,3,1,8,8.00,0,1,1.8,1.3,,93,
132,Josh Cooper\CoopJo00,CLE,WR,23,6,0,0,0,0,0,0,0,0,,0,19,8,106,13.25,0,11,21.6,14.6,,148,
133,Riley Cooper\CoopRi00,PHI,WR,25,11,5,0,0,0,0,0,0,0,,0,47,23,248,10.78,3,43,68.8,54.3,,95,
134,Terrance Copper\CoppTe00,KAN,WR,30,15,0,0,0,0,0,0,1,1,1.00,0,12,8,79,9.88,0,8,16.0,12.0,,156,
135,Jerricho Cotchery\CotcJe00,PIT,WR,30,14,2,0,0,0,0,0,0,0,,0,27,17,205,12.06,0,21,40.5,29.0,,130,
136,Kirk Cousins\CousKi00,WAS,QB,24,3,1,33,48,466,4,3,3,22,7.33,0,0,0,0,,0,33,38.8,35.8,,38,
137,Michael Crabtree\CrabMi00,SFO,WR,25,16,16,0,0,0,0,0,1,8,8.00,0,127,85,1105,13.00,9,165,253.3,207.8,47,14,38
138,Tom Crabtree\CrabTo00,GNB,TE,27,14,6,0,0,0,0,0,0,0,,0,12,8,203,25.38,3,38,49.3,42.3,,39,
139,Josh Cribbs*\CribJo01,CLE,WR,29,16,2,0,0,0,0,0,6,42,7.00,0,11,7,63,9.00,0,5,14.5,8.0,,171,
140,Juron Criner\CrinJu00,OAK,WR,23,12,0,0,0,0,0,0,0,0,,0,33,16,151,9.44,1,23,42.1,31.1,,123,
141,Victor Cruz*\CruzVi00,NYG,WR,26,16,16,0,0,0,0,0,0,0,,0,143,86,1092,12.70,10,169,258.2,212.2,51,13,35
142,Jeff Cumberland\CumbJe00,NYJ,WR,25,15,12,0,0,0,0,0,0,0,,0,53,29,359,12.38,3,54,85.9,68.4,,82,
143,B.J. Cunningham\CunnB.00,PHI,,23,,,0,0,0,0,0,0,0,,0,,0,0,,0,,,,,255,
144,Dominique Curry\CurrDo00,DET,,25,,,0,0,0,0,0,0,0,,0,,0,0,,0,,,,,225,
145,Jay Cutler\CutlJa00,CHI,QB,29,15,15,255,434,3033,19,14,41,233,5.68,0,0,0,0,,0,185,208.6,198.6,,23,
146,Andy Dalton\DaltAn00,CIN,QB,25,16,16,329,528,3669,27,16,47,120,2.55,4,0,0,0,,0,251,276.8,266.8,,12,75
147,Chase Daniel\DaniCh00,NOR,QB,26,16,0,1,1,10,0,0,3,17,5.67,0,0,0,0,,0,2,2.1,2.1,,58,
148,Owen Daniels*\DaniOw00,HOU,TE,30,15,14,0,0,0,0,0,0,0,,0,104,62,716,11.55,6,108,172.6,138.6,12,8,67
149,Austin Davis\DaviAu00,STL,,23,,,0,0,0,0,0,0,0,,0,,0,0,,0,,,,,77,
150,Bryce Davis\DaviBr01,CIN,,23,,,0,0,0,0,0,0,0,,0,,0,0,,0,,,,,112,
151,Dominique Davis\DaviDo02,ATL,,23,1,0,0,0,0,0,0,0,0,,0,,0,0,,0,,,,,78,
152,Drew Davis\DaviDr00,ATL,WR,23,16,0,0,0,0,0,0,0,0,,0,5,4,40,10.00,1,10,14.0,12.0,,151,
153,Fred Davis\DaviFr01,WAS,TE,26,7,7,0,0,0,0,0,1,1,1.00,0,31,24,325,13.54,0,33,59.6,44.6,,44,
154,Kellen Davis\DaviKe01,CHI,TE,27,16,15,0,0,0,0,0,0,0,,0,44,19,229,12.05,2,33,55.9,42.4,,43,
155,Vernon Davis\DaviVe00,SFO,TE,28,16,16,0,0,0,0,0,0,0,,0,61,41,548,13.37,5,85,128.8,105.3,,15,
156,Eric Decker\DeckEr00,DEN,WR,25,16,15,0,0,0,0,0,0,0,,0,122,85,1064,12.52,13,184,272.4,226.9,66,8,24
157,Jeff Demps\DempJe00,NWE,,22,,,0,0,0,0,0,0,0,,0,,0,0,,0,,,,,185,
158,Dorin Dickerson\DickDo00,BUF,RB,24,12,0,0,0,0,0,0,1,-8,-8.00,0,15,9,117,13.00,0,9,21.9,13.4,,120,
159,Ed Dickson\DickEd00,BAL,TE,25,13,11,0,0,0,0,0,0,0,,0,33,21,225,10.71,0,23,46.5,33.0,,51,
160,Anthony Dixon\DixoAn00,SFO,RB,25,16,0,0,0,0,0,0,21,78,3.71,2,0,0,0,,0,20,19.8,19.8,,96,
161,Dennis Dixon\DixoDe00,BAL,,27,,,0,0,0,0,0,0,0,,0,,0,0,,0,,,,,76,
162,Larry Donnell\DonnLa00,NYG,,24,,,0,0,0,0,0,0,0,,0,,0,0,,0,,,,,101,
163,Tandon Doss\DossTa00,BAL,WR,23,14,0,0,0,0,0,0,0,0,,0,17,7,123,17.57,1,18,28.3,21.8,,135,
164,Early Doucet\DoucEa00,ARI,WR,27,12,3,0,0,0,0,0,2,9,4.50,0,53,28,207,7.39,0,22,52.6,35.6,,128,
165,David Douglas\DougDa01,TAM,,23,1,0,0,0,0,0,0,0,0,,0,,0,0,,0,,,,,212,
166,Harry Douglas\DougHa00,ATL,WR,28,15,1,0,0,0,0,0,2,4,2.00,0,59,38,395,10.39,1,46,86.9,64.9,,89,
167,Shaun Draughn\DrauSh00,KAN,RB,25,16,0,0,0,0,0,0,59,233,3.95,2,30,24,158,6.58,0,49,80.1,61.1,,61,
168,Jim Dray\DrayJi00,ARI,TE,26,13,0,0,0,0,0,0,0,0,,0,2,2,15,7.50,0,2,3.5,2.5,,87,
169,Joel Dreessen\DreeJo00,DEN,TE,30,16,15,0,0,0,0,0,0,0,,0,58,41,356,8.68,5,66,109.6,86.1,,27,
170,Donald Driver\DrivDo00,GNB,WR,37,13,1,0,0,0,0,0,0,0,,0,13,8,77,9.63,2,20,27.7,23.7,,132,
171,Lance Dunbar\DunbLa00,DAL,RB,22,12,0,0,0,0,0,0,21,75,3.57,0,12,6,33,5.50,0,11,16.8,13.8,,116,
172,Drake Dunsmore\DunsDr00,TAM,,24,,,0,0,0,0,0,0,0,,0,,0,0,,0,,,,,103,
173,Kris Durham\DurhKr00,DET,WR,24,4,3,0,0,0,0,0,0,0,,0,21,8,125,15.63,1,19,29.5,22.5,,133,
174,Jonathan Dwyer\DwyeJo00,PIT,RB,23,13,6,0,0,0,0,0,156,623,3.99,2,25,18,106,5.89,0,81,106.9,89.9,,41,
175,Nate Eachus\EachNa00,KAN,RB,22,11,2,0,0,0,0,0,5,18,3.60,0,3,1,19,19.00,0,4,4.7,4.2,,133,
176,Jeremy Ebert\EberJe00,NWE,,23,,,0,0,0,0,0,0,0,,0,,0,0,,0,,,,,213,
177,Julian Edelman\EdelJu00,NWE,WR,26,9,3,0,0,0,0,0,4,45,11.25,0,32,21,235,11.19,3,44,81.0,66.5,,91,
178,Armanti Edwards\EdwaAr00,CAR,WR,24,16,0,0,1,0,0,0,0,0,,0,9,5,121,24.20,0,12,20.1,14.6,,145,
179,Braylon Edwards\EdwaBr00,2TM,WR,29,13,4,0,0,0,0,0,0,0,,0,35,18,199,11.06,1,26,46.9,34.9,,116,
180,Trent Edwards\EdwaTr01,PHI,QB,29,1,0,2,2,14,0,0,0,0,,0,1,0,0,,0,1,0.6,0.6,,62,
181,Michael Egnew\EgneMi00,MIA,,23,2,0,0,0,0,0,0,0,0,,0,,0,0,,0,,,,,107,
182,Kevin Elliott\ElliKe02,JAX,WR,24,13,1,0,0,0,0,0,0,0,,0,31,10,108,10.80,0,11,23.8,15.8,,147,
183,Rhett Ellison\ElliRh00,MIN,TE,24,16,7,0,0,0,0,0,0,0,,0,9,7,65,9.29,0,7,13.5,10.0,,72,
184,Dedrick Epps\EppsDe00,NYJ,TE,24,3,0,0,0,0,0,0,0,0,,0,1,1,9,9.00,0,-1,0.9,-0.6,,138,
185,Darren Evans\EvanDa00,TEN,,24,1,0,0,0,0,0,0,0,0,,0,,0,0,,0,,,,,160,
186,Bradie Ewing\EwinBr00,ATL,,23,,,0,0,0,0,0,0,0,,0,,0,0,,0,,,,,4,
187,Anthony Fasano\FasaAn00,MIA,TE,28,16,16,0,0,0,0,0,0,0,,0,69,41,332,8.10,5,65,109.2,85.7,,28,
188,Daniel Fells\FellDa00,NWE,WR,29,13,4,0,0,0,0,0,0,0,,0,10,4,85,21.25,0,9,12.5,10.5,,154,
189,Jerome Felton*\FeltJe00,MIN,WR,26,16,7,0,0,0,0,0,0,0,,0,4,3,35,11.67,0,4,6.5,5.0,,178,
190,Tony Fiammetta\FiamTo00,NWE,,26,,,0,0,0,0,0,0,0,,0,,0,0,,0,,,,,168,
191,Jermichael Finley\FinlJe00,GNB,TE,25,16,14,0,0,0,0,0,0,0,,0,87,61,667,10.93,2,77,141.7,107.2,,19,
192,Larry Fitzgerald*\FitzLa00,ARI,WR,29,16,16,0,0,0,0,0,0,0,,0,156,71,798,11.24,4,104,177.8,139.3,,42,
193,Ryan Fitzpatrick\FitzRy00,BUF,QB,30,16,16,306,505,3400,24,16,48,197,4.10,1,0,0,0,,0,214,241.7,229.7,,20,
194,Joe Flacco\FlacJo00,BAL,QB,27,16,16,317,531,3817,22,10,32,22,0.69,3,0,0,0,,0,235,251.9,244.9,,14,
195,Coby Fleener\FleeCo00,IND,TE,24,12,10,0,0,0,0,0,0,0,,0,48,26,281,10.81,2,40,69.1,53.1,,38,
